code,label,category,subcategory,aliases
CF_OP_004,Changes in Working Capital,Cash Flow,Operating,"WC Changes,Operating WC"
CF_OP_005,Change in AR,Cash Flow,Operating,"Accounts Receivable Change"
CF_OP_006,Change in Inventory,Cash Flow,Operating,"Inventory Change"
CF_OP_007,Change in AP,Cash Flow,Operating,"Accounts Payable Change"
CF_OP_008,Other Operating Activities,Cash Flow,Operating,"Other Operating CF"
CF_INV_001,Cash from Investing Activities,Cash Flow,Investing,"Investing Cash Flow,CFI"
CF_INV_002,Capital Expenditures,Cash Flow,Investing,"CapEx,PP&E Purchases"
CF_INV_003,Acquisitions,Cash Flow,Investing,"Business Combinations,M&A"
CF_INV_004,Asset Sales,Cash Flow,Investing,"Proceeds from Asset Disposals"
CF_INV_005,Investment Purchases,Cash Flow,Investing,"Security Purchases"
CF_INV_006,Investment Sales,Cash Flow,Investing,"Security Sales"
CF_FIN_001,Cash from Financing Activities,Cash Flow,Financing,"Financing Cash Flow,CFF"
CF_FIN_002,Debt Issuance,Cash Flow,Financing,"Borrowings,New Debt"
CF_FIN_003,Debt Repayment,Cash Flow,Financing,"Debt Payments,Principal Repayment"
CF_FIN_004,Equity Issuance,Cash Flow,Financing,"Stock Issuance,Capital Raise"
CF_FIN_005,Dividends Paid,Cash Flow,Financing,"Cash Dividends,Distributions"
CF_FIN_006,Stock Repurchase,Cash Flow,Financing,"Share Buyback,Treasury Stock Purchase"
CF_NET_001,Net Change in Cash,Cash Flow,Summary,"Cash Increase/Decrease"
CF_BEGIN_001,Beginning Cash,Cash Flow,Summary,"Cash at Beginning of Period"
CF_END_001,Ending Cash,Cash Flow,Summary,"Cash at End of Period"
RATIO_001,Gross Margin %,Ratios,Profitability,"Gross Profit Margin"
RATIO_002,Operating Margin %,Ratios,Profitability,"EBIT Margin,Operating Profit Margin"
RATIO_003,Net Margin %,Ratios,Profitability,"Net Profit Margin,ROS"
RATIO_004,EBITDA Margin %,Ratios,Profitability,"EBITDA %"
RATIO_005,Current Ratio,Ratios,Liquidity,"Working Capital Ratio"
RATIO_006,Quick Ratio,Ratios,Liquidity,"Acid Test"
RATIO_007,Debt to Equity,Ratios,Leverage,"D/E,Leverage Ratio"
RATIO_008,Debt to Assets,Ratios,Leverage,"Total Debt Ratio"
RATIO_009,Interest Coverage,Ratios,Leverage,"Times Interest Earned"
RATIO_010,Days Sales Outstanding,Ratios,Efficiency,"DSO,Collection Period"
RATIO_011,Days Inventory Outstanding,Ratios,Efficiency,"DIO,Inventory Turnover Days"
RATIO_012,Days Payable Outstanding,Ratios,Efficiency,"DPO,Payment Period"
RATIO_013,Cash Conversion Cycle,Ratios,Efficiency,"CCC"
RATIO_014,Return on Assets,Ratios,Returns,"ROA"
RATIO_015,Return on Equity,Ratios,Returns,"ROE"
RATIO_016,Return on Invested Capital,Ratios,Returns,"ROIC"
ADJ_001,Non-recurring Expenses,Adjustments,Quality of Earnings,"One-time Costs,Extraordinary Items"
ADJ_002,Owner Compensation Adjustment,Adjustments,Quality of Earnings,"Excess Owner Pay,Normalize Compensation"
ADJ_003,Related Party Transactions,Adjustments,Quality of Earnings,"RPT Adjustments"
ADJ_004,Rent Adjustment,Adjustments,Quality of Earnings,"Market Rate Rent Adjustment"
ADJ_005,Personal Expenses,Adjustments,Quality of Earnings,"Owner Personal Items"
VAL_001,Weighted Average Cost of Capital,Valuation,Discount Rates,"WACC"
VAL_002,Risk-free Rate,Valuation,Discount Rates,"Rf,Treasury Yield"
VAL_003,Equity Risk Premium,Valuation,Discount Rates,"ERP,Market Risk Premium"
VAL_004,Beta,Valuation,Discount Rates,"Systematic Risk,Market Beta"
VAL_005,Size Premium,Valuation,Discount Rates,"Small Cap Premium"
VAL_006,Company Specific Risk,Valuation,Discount Rates,"Alpha,Specific Risk Premium"
VAL_007,Cost of Equity,Valuation,Discount Rates,"Ke,Equity Discount Rate"
VAL_008,Cost of Debt,Valuation,Discount Rates,"Kd,Debt Rate"
VAL_009,Terminal Growth Rate,Valuation,DCF Inputs,"Perpetuity Growth,g"
VAL_010,Exit Multiple,Valuation,DCF Inputs,"Terminal Multiple"
VAL_011,Enterprise Value,Valuation,Outputs,"EV"
VAL_012,Equity Value,Valuation,Outputs,"Market Cap,Shareholder Value"
VAL_013,EV/Revenue,Valuation,Multiples,"Revenue Multiple"
VAL_014,EV/EBITDA,Valuation,Multiples,"EBITDA Multiple"
VAL_015,P/E Ratio,Valuation,Multiples,"Price to Earnings"
VAL_016,Price to Book,Valuation,Multiples,"P/B,Market to Book"

